generation	AC	ID	AuROC	roc_auc	AuPR	pr_auc	parent_AC	parent_ID	selected
5	cluster_4_G5_M4_C9	cluster_4_G5_M4_C9	0.7995009124351876	0.7990549778408598	0.7978937063325636	0.7954201241313378	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	0
5	cluster_4_G5_M4_C5	cluster_4_G5_M4_C5	0.7986982591315932	0.7982602902412883	0.7952518900310123	0.7933419677636782	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	0
5	cluster_4_G5_M4_C10	cluster_4_G5_M4_C10	0.798574573472757	0.7981211076673522	0.7947903660882291	0.791954400368549	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	0
5	cluster_4_G5_M4_C4	cluster_4_G5_M4_C4	0.7941476696694953	0.7936908727514991	0.7921730923275057	0.7902448345772533	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	0
5	cluster_4_G5_M4_C8	cluster_4_G5_M4_C8	0.7894844017032122	0.7890048663210034	0.7886214580494143	0.7865398219432207	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	0
5	cluster_4_G5_M4_C6	cluster_4_G5_M4_C6	0.7886908727514991	0.7882271239463545	0.7896506398009726	0.7871851890889594	cluster_4_G4_M3_C5	cluster_4_G4_M3_C5	0
5	cluster_4_G5_M1_C2	cluster_4_G5_M1_C2	0.7874409813747354	0.7869986675549634	0.7823391188104508	0.780810884124131	cluster_4_G4_M1_C10	cluster_4_G4_M1_C10	0
5	cluster_4_G5_M1_C7	cluster_4_G5_M1_C7	0.7861059293804127	0.7856421805752687	0.7804148648140331	0.7789524079594513	cluster_4_G4_M1_C10	cluster_4_G4_M1_C10	0
5	cluster_4_G5_M1_C10	cluster_4_G5_M1_C10	0.7834277148567621	0.7829529588969673	0.7815728211413925	0.7799863661881005	cluster_4_G4_M1_C10	cluster_4_G4_M1_C10	0
5	cluster_4_G5_M1_C9	cluster_4_G5_M1_C9	0.7824249051357062	0.7819601425136864	0.7790586038565263	0.7776980760931	cluster_4_G4_M1_C10	cluster_4_G4_M1_C10	0
5	cluster_4_G4_M1_C10	cluster_4_G4_M1_C10	0.7810503142832307	0.7811405439851693	0.7781115175247333	0.7767130743596086	cluster_4_G3_M1_C8	cluster_4_G3_M1_C8	0
5	cluster_4_G5_M1_C3	cluster_4_G5_M1_C3	0.7810503142832307	0.7811405439851693	0.7781115175247333	0.7767130743596086	cluster_4_G4_M1_C10	cluster_4_G4_M1_C10	0
5	cluster_4_G5_M5_C1	cluster_4_G5_M5_C1	0.7802341916982877	0.7797324971757957	0.7689742562213027	0.7673578003540684	cluster_4_G4_M4_C3	cluster_4_G4_M4_C3	0
5	cluster_4_G5_M2_C1	cluster_4_G5_M2_C1	0.7797026619934542	0.779232250963126	0.7796966969439012	0.7771973388036097	cluster_4_G4_M3_C3	cluster_4_G4_M3_C3	0
5	cluster_4_G5_M1_C1	cluster_4_G5_M1_C1	0.7761687860267067	0.7757005474611129	0.7666226630661859	0.7650853647889734	cluster_4_G4_M1_C10	cluster_4_G4_M1_C10	0
5	cluster_4_G5_M2_C10	cluster_4_G5_M2_C10	0.7754382585522694	0.775503866987226	0.7713369709281928	0.7689231816932819	cluster_4_G4_M3_C3	cluster_4_G4_M3_C3	0
5	cluster_4_G5_M2_C5	cluster_4_G5_M2_C5	0.774908466819222	0.7744315383946934	0.7767039709675024	0.7740081825060244	cluster_4_G4_M3_C3	cluster_4_G4_M3_C3	0
